epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.01929,2.69044,5.8578,3.49981,0.0065,0.80556,0.02234,0.00807,1.34261,3.68812,2.05648,0.00015003,0.00015003,0.00015003
2,3.2491,1.42437,4.08926,1.89337,0.01388,0.91667,0.2147,0.06694,1.72809,3.96523,2.33986,0.000313594,0.000313594,0.000313594
3,4.4666,1.32903,3.89247,1.78444,0.00729,0.83333,0.18971,0.06406,2.35402,4.16647,3.09184,0.000473858,0.000473858,0.000473858
4,5.79659,1.24949,3.22529,1.69592,0.00601,0.86111,0.36662,0.18707,2.00642,4.00882,2.71113,0.000630821,0.000630821,0.000630821
5,7.00304,1.36583,3.18115,1.82112,0.00439,0.83333,0.2087,0.09374,2.31451,4.14813,3.57297,0.000784484,0.000784484,0.000784484
6,8.18497,1.27477,2.76496,1.80303,0.0055,0.97222,0.39276,0.22101,1.80393,3.81674,2.85448,0.000934845,0.000934845,0.000934845
7,9.3639,1.30313,3.21305,1.80395,0.80285,0.16667,0.34482,0.12929,2.102,3.85055,3.16385,0.00108191,0.00108191,0.00108191
8,10.554,1.39843,3.10939,1.82295,0.87129,0.24818,0.62262,0.25379,1.94099,3.61371,2.54816,0.00122567,0.00122567,0.00122567
9,11.7438,1.37318,2.96422,1.8078,0.88817,0.46551,0.69837,0.38902,1.61168,3.05945,2.23571,0.00136613,0.00136613,0.00136613
10,12.9658,1.31635,2.6017,1.78032,0.57789,0.66813,0.6418,0.36182,1.79152,2.80488,2.76539,0.00150329,0.00150329,0.00150329
11,14.2372,1.38368,2.76752,1.8755,0.60284,0.52777,0.47765,0.26401,1.81053,3.1207,2.88156,0.00150197,0.00150197,0.00150197
12,15.4158,1.35193,2.59402,1.7742,0.29537,0.42929,0.27469,0.10191,2.40227,3.56759,3.25442,0.00148546,0.00148546,0.00148546
13,16.595,1.37574,2.66176,1.85896,0.49902,0.68939,0.60368,0.26537,1.9193,2.80116,2.78487,0.00146896,0.00146896,0.00146896
14,17.765,1.37769,2.69938,1.88637,0.22559,0.49747,0.34981,0.15234,1.83008,3.25604,2.51813,0.00145246,0.00145246,0.00145246
15,18.9132,1.27531,2.43036,1.74649,0.58065,0.53931,0.61086,0.31062,1.73873,3.10131,2.34061,0.00143595,0.00143595,0.00143595
16,20.0695,1.15957,2.21051,1.62266,0.62016,0.5202,0.64803,0.32366,1.53737,2.59955,2.22324,0.00141945,0.00141945,0.00141945
17,21.2147,1.23806,2.31075,1.70851,0.70342,0.31208,0.28421,0.12099,1.8952,3.51659,2.53489,0.00140295,0.00140295,0.00140295
18,22.4536,1.17592,2.13129,1.65538,0.65504,0.92677,0.84778,0.56365,1.21913,2.25801,1.78994,0.00138644,0.00138644,0.00138644
19,23.5913,1.21026,2.25836,1.72315,0.82342,0.84363,0.84567,0.55312,1.25421,1.89212,1.78416,0.00136994,0.00136994,0.00136994
20,24.7414,1.13266,1.99878,1.56939,0.76585,0.79677,0.8782,0.5719,1.24733,1.75577,1.74936,0.00135344,0.00135344,0.00135344
21,25.8807,1.10685,2.07244,1.54933,0.94886,0.76435,0.9242,0.62209,1.21212,1.79079,1.69177,0.00133693,0.00133693,0.00133693
22,27.0184,1.10893,2.02161,1.64868,0.78257,0.83443,0.89904,0.57256,1.38247,1.79035,2.01285,0.00132043,0.00132043,0.00132043
23,28.1704,1.12865,1.88894,1.57195,0.88817,0.67624,0.89573,0.58588,1.45101,2.01102,2.05672,0.00130393,0.00130393,0.00130393
24,29.2948,1.08221,1.78399,1.53753,0.86903,0.8003,0.9249,0.55642,1.42165,2.17435,1.9235,0.00128742,0.00128742,0.00128742
25,30.4298,1.03809,1.80063,1.63366,0.88571,0.9246,0.93592,0.58625,1.40001,2.20985,1.93875,0.00127092,0.00127092,0.00127092
26,31.6701,1.09234,1.7984,1.59296,0.89427,0.77778,0.89407,0.48977,1.57962,2.25776,2.20352,0.00125442,0.00125442,0.00125442
27,32.7847,1.14892,1.82681,1.58436,0.68631,0.96259,0.90082,0.54092,1.48363,1.92106,2.0003,0.00123791,0.00123791,0.00123791
28,33.9066,1.11623,1.7083,1.64883,0.8435,0.83586,0.85445,0.57907,1.2478,1.73428,1.76802,0.00122141,0.00122141,0.00122141
29,35.0276,1.09392,1.70159,1.57312,0.75971,0.88131,0.89989,0.62015,1.21454,1.65896,1.70715,0.00120491,0.00120491,0.00120491
