epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.80808,4.0308,15.165,5.59215,0.00076,0.40909,0.00387,0.00069,2.50446,6.24124,2.89571,0.00015003,0.00015003,0.00015003
2,9.5582,2.01126,7.06478,2.45377,0.00808,0.64141,0.06166,0.01443,3.30307,7.18645,3.23784,0.000313594,0.000313594,0.000313594
3,13.1321,1.93384,7.29025,2.34322,0.0027,0.26515,0.02287,0.0059,3.78477,9.084,4.3075,0.000473858,0.000473858,0.000473858
4,16.2789,1.86226,6.50286,2.15741,0.00333,0.43939,0.11159,0.03303,3.25908,7.77414,3.37386,0.000630821,0.000630821,0.000630821
5,19.4731,1.90976,6.22492,2.2187,0.0035,0.77778,0.20659,0.04827,3.0595,6.3232,3.66877,0.000784484,0.000784484,0.000784484
6,22.3483,1.82652,5.25794,2.14079,0.00426,0.86111,0.28333,0.09213,2.88629,6.05598,2.88323,0.000934845,0.000934845,0.000934845
7,25.665,1.95712,6.75718,2.27341,0.74276,0.20898,0.57616,0.18675,2.60924,5.80174,2.88744,0.00108191,0.00108191,0.00108191
8,28.8538,2.05685,6.17865,2.39804,0.00195,0.46465,0.1115,0.05621,3.55622,6.56192,4.39694,0.00122567,0.00122567,0.00122567
9,32.3658,1.94449,5.71899,2.2366,0.36938,0.11869,0.18353,0.05578,3.34144,6.08036,3.91315,0.00136613,0.00136613,0.00136613
10,35.8056,1.84117,4.82768,2.15722,0.12176,0.2399,0.12367,0.03542,2.71009,5.30562,3.30907,0.00150329,0.00150329,0.00150329
11,38.8714,1.94565,5.22323,2.18385,0.64214,0.13636,0.12416,0.02974,2.65914,5.17146,3.2613,0.00150197,0.00150197,0.00150197
12,41.6068,1.82558,4.62221,2.22329,0.66136,0.32514,0.22673,0.07129,2.38753,4.50036,3.14174,0.00148546,0.00148546,0.00148546
13,44.6688,1.82397,4.70668,2.15285,0.37878,0.57576,0.3124,0.14015,2.29942,4.59602,2.67676,0.00146896,0.00146896,0.00146896
14,47.5825,1.99059,5.1079,2.15083,0.46807,0.35859,0.31756,0.15288,2.33154,4.62927,2.65737,0.00145246,0.00145246,0.00145246
15,51.1868,1.73366,4.34763,2.0173,0.26515,0.40901,0.28163,0.12183,2.54705,4.83793,2.85299,0.00143595,0.00143595,0.00143595
